SongName,VocalTracks
Dropkick Murphys - I'm Shipping Up To Boston.mogg_fixed.mogg_extract,14|15
Drowning Pool - Bodies.mogg_fixed.mogg_extract,7|8
Duffy - Warwick Avenue.mogg_fixed.mogg_extract,14|15
Duran Duran - Girls On Film.mogg_fixed.mogg_extract,6|7|8|9|10|11
Duran Duran - Hungry Like The Wolf.mogg_fixed.mogg_extract,6|7
Duran Duran - Rio.mogg_fixed.mogg_extract,16|17
Eagles - Frail Grasp On The Big Picture.mogg_fixed.mogg_extract,14|15
Eagles - Hotel California.mogg_fixed.mogg_extract,12|13
Eagles - Life In The Fast Lane.mogg_fixed.mogg_extract,14|15
Eagles - One Of These Nights.mogg_fixed.mogg_extract,14|15
Eagles - Take It Easy.mogg_fixed.mogg_extract,16|17
Eagles Of Death Metal - Anything 'Cept The Truth.mogg_fixed.mogg_extract,14|15
Eagles Of Death Metal - I Only Want You.mogg_fixed.mogg_extract,2|3|12|13
Edgar Winter - Free Ride.mogg_fixed.mogg_extract,7|8
Editors - Munich.mogg_fixed.mogg_extract,14|15
Electric 6 - Gay Bar.mogg_fixed.mogg_extract,10|11
Elliott Smith - L.A..mogg_fixed.mogg_extract,4|5
Elton John - Crocodile Rock.mogg_fixed.mogg_extract,5|6
Elton John - Saturday Night's Alright (For Fighting).mogg_fixed.mogg_extract,12|13
Elvis Costello - Pump It Up.mogg_fixed.mogg_extract,8|9
Endeverafter - I Wanna Be Your Man.mogg_fixed.mogg_extract,8|9|10|11
Erasure - A Little Respect.mogg_fixed.mogg_extract,11|12
Europe - The Final Countdown.mogg_fixed.mogg_extract,9|10
Evancescene - Lithium.mogg_fixed.mogg_extract,6|7
Evanescence - Bring Me To Life.mogg_fixed.mogg_extract,14|15
Evanescence - Everybodys Fool.mogg_fixed.mogg_extract,7|8
Evanescence - What You Want.mogg_fixed.mogg_extract,6|7
Everclear - Santa Monica (Watch The World Die).mogg_fixed.mogg_extract,14|15
Everlife - Real Wild Child.mogg_fixed.mogg_extract,5|6
Evile - Thrasher.mogg_fixed.mogg_extract,8|9
Extreme - Play With Me.mogg_fixed.mogg_extract,12|13
Face To Face - Disconnected.mogg_fixed.mogg_extract,7|8
Faith No More - Epic.mogg_fixed.mogg_extract,14|15
Faith No More - Midlife Crisis.mogg_fixed.mogg_extract,13|14
Faith No More - We Care A Lot.mogg_fixed.mogg_extract,10|11|12|13
Fall Out Boy - America's Sweethearts.mogg_fixed.mogg_extract,0|1|8|9|20|21
"Fall Out Boy - Dance, Dance.mogg_fixed.mogg_extract",7|8
Fall Out Boy - I Don't Care.mogg_fixed.mogg_extract,9|10|11|12
"Fall Out Boy - Sugar, We're Going Down.mogg_fixed.mogg_extract",14|15
"Fall Out Boy - The Take Over, The Break's Over.mogg_fixed.mogg_extract",14|15
"Fall Out Boy - This Ain't A Scene, It's An Arms Race.mogg_fixed.mogg_extract",14|15
Fall Out Boy - Thks Fr Th Mmrs.mogg_fixed.mogg_extract,14|15
Filter - Take A Picture.mogg_fixed.mogg_extract,14|15
Finger Eleven - Paralyzer.mogg_fixed.mogg_extract,14|15
Finley - Adrenalina.mogg_fixed.mogg_extract,14|15
Finley - Tutto E' Possibile.mogg_fixed.mogg_extract,7|8|9|10
FIREWIND - World On Fire.mogg_fixed.mogg_extract,7|8
Fito & Fitipaldis - Por La Boca Vive El Pez.mogg_fixed.mogg_extract,14|15
Five Finger Death Punch - Hard to See.mogg_fixed.mogg_extract,7|8
Fleetwood Mac - Don't Stop.mogg_fixed.mogg_extract,9|10
Fleetwood Mac - Dreams.mogg_fixed.mogg_extract,12|13
Fleetwood Mac - Go Your Own Way.mogg_fixed.mogg_extract,12|13
Fleetwood Mac - Rhiannon.mogg_fixed.mogg_extract,12|13
Flight Of The Conchords - Business Time.mogg_fixed.mogg_extract,10|11
Flo Rida featuring T-Pain - Low (Travis Barker Remix).mogg_fixed.mogg_extract,14|15
Flogging Molly - (No More) Paddy's Lament.mogg_fixed.mogg_extract,12|13
Flogging Molly - Requiem For A Dying Song.mogg_fixed.mogg_extract,14|15
Flogging Molly - The Seven Deadly Sins.mogg_fixed.mogg_extract,14|15
Flyleaf - Again.mogg_fixed.mogg_extract,7|8
Flyleaf - I'm So Sick.mogg_fixed.mogg_extract,8|9|10|11
Foo Fighters - All My Life.mogg_fixed.mogg_extract,7|8
Foo Fighters - Best of You.mogg_fixed.mogg_extract,12|13
Foo Fighters - Breakout.mogg_fixed.mogg_extract,7|8|9|10
Foo Fighters - Doll.mogg_fixed.mogg_extract,7|8
Foo Fighters - Enough Space.mogg_fixed.mogg_extract,7|8
Foo Fighters - Everlong.mogg_fixed.mogg_extract,12|13
Foo Fighters - February Stars.mogg_fixed.mogg_extract,10|11|12|13
"Foo Fighters - Hey, Johnny Park!.mogg_fixed.mogg_extract",8|9
Foo Fighters - I'll Stick Around.mogg_fixed.mogg_extract,8|9
Foo Fighters - Learn To Fly.mogg_fixed.mogg_extract,9|10|13|14
Foo Fighters - Lonely As You.mogg_fixed.mogg_extract,9|10
Foo Fighters - Long Road To Ruin.mogg_fixed.mogg_extract,7|8
Frankie Goes To Hollywood - Relax.mogg_fixed.mogg_extract,10|11|12|13
Franz Ferdinand - Take Me Out.mogg_fixed.mogg_extract,10|11
Freezepop - Brainpower.mogg_fixed.mogg_extract,10|11
Freezepop - Sprode.mogg_fixed.mogg_extract,6|7
Garbage - I Think I'm Paranoid.mogg_fixed.mogg_extract,8|9
Garbage - Why Do You Love Me.mogg_fixed.mogg_extract,8|9
George Thorogood & The Destroyers - Bad to the Bone.mogg_fixed.mogg_extract,6|7|8|9
Ghost Hounds - Ashes To Fire.mogg_fixed.mogg_extract,8|9
GLADoS - Still Alive.mogg_fixed.mogg_extract,7|8
Godsmack - I Stand Alone.mogg_fixed.mogg_extract,14|15
Golden Earring - Radar Love.mogg_fixed.mogg_extract,8|9
Goo Goo Dolls - Name.mogg_fixed.mogg_extract,7|8
Good Charlotte - Girls & Boys.mogg_fixed.mogg_extract,9|10
Gorillaz - Feel Good Inc..mogg_fixed.mogg_extract,7|8
Gov't Mule - Streamline Woman.mogg_fixed.mogg_extract,7|8
Grand Funk Railroad - We're An American Band.mogg_fixed.mogg_extract,7|8
Grateful Dead - Alabama Getaway.mogg_fixed.mogg_extract,8|9
Grateful Dead - Casey Jones.mogg_fixed.mogg_extract,6|7|8|9
Grateful Dead - Franklin's Tower.mogg_fixed.mogg_extract,7|8|9|10
Grateful Dead - I Need A Miracle.mogg_fixed.mogg_extract,8|9|10|11
Grateful Dead - Sugar Magnolia.mogg_fixed.mogg_extract,7|8|9|10
Grateful Dead - Touch Of Grey.mogg_fixed.mogg_extract,10|11
Grateful Dead - Truckin'.mogg_fixed.mogg_extract,7|8|9|10
Green Day - 21 Guns.mogg_fixed.mogg_extract,8|9
Green Day - 21st Century Breakdown.mogg_fixed.mogg_extract,9|10
Green Day - American Eulogy.mogg_fixed.mogg_extract,8|9
Green Day - American Idiot.mogg_fixed.mogg_extract,8|9
Green Day - Are We The Waiting-St. Jimmy.mogg_fixed.mogg_extract,8|9
Green Day - Minority.mogg_fixed.mogg_extract,7|8
Green Day - Murder City.mogg_fixed.mogg_extract,9|10
Green Day - Nice Guys Finish Last.mogg_fixed.mogg_extract,8|9
Green Day - Peacemaker.mogg_fixed.mogg_extract,8|9
Green Day - Pulling Teeth.mogg_fixed.mogg_extract,7|8
Green Day - Restless Heart Syndrome.mogg_fixed.mogg_extract,6|7
Green Day - Sassafras Roots.mogg_fixed.mogg_extract,7|8
Green Day - See The Light.mogg_fixed.mogg_extract,8|9
Green Day - She.mogg_fixed.mogg_extract,8|9
Green Day - Song Of The Century.mogg_fixed.mogg_extract,0|1
Green Day - The Static Age.mogg_fixed.mogg_extract,8|9
Green Day - Viva La Gloria.mogg_fixed.mogg_extract,8|9
Green Day - Wake Me Up When September Ends.mogg_fixed.mogg_extract,6|7
Green Day - Warning.mogg_fixed.mogg_extract,8|9
Green Day - Welcome To Paradise.mogg_fixed.mogg_extract,8|9
Green Day - Whatsername.mogg_fixed.mogg_extract,6|7
Green Day - When I Come Around.mogg_fixed.mogg_extract,7|8
Guess Who - American Woman.mogg_fixed.mogg_extract,5|6|9|10
Guns & Roses - Shackler's Revenge.mogg_fixed.mogg_extract,10|11|12|13
Guns N Roses - Better.mogg_fixed.mogg_extract,9|10
Guns N Roses - Catcher In The Rye.mogg_fixed.mogg_extract,8|9
Guns N Roses - Chinese Democracy.mogg_fixed.mogg_extract,9|10
Guns N Roses - I.R.S.mogg_fixed.mogg_extract,9|10
Guns N Roses - If The World.mogg_fixed.mogg_extract,9|10
Guns N Roses - Madagascar.mogg_fixed.mogg_extract,6|7
Guns N Roses - Prostitute.mogg_fixed.mogg_extract,10|11
Guns N Roses - Riad 'N The Bedouins.mogg_fixed.mogg_extract,9|10
Guns N Roses - Scraped.mogg_fixed.mogg_extract,7|8
Guns N Roses - Shackler's Revenge.mogg_fixed.mogg_extract,10|11|12|13
Guns N Roses - Sorry.mogg_fixed.mogg_extract,9|10
Guns N Roses - Street Of Dreams.mogg_fixed.mogg_extract,7|8
Guns N Roses - There Was A Time.mogg_fixed.mogg_extract,8|9
Guns N Roses - This I Love.mogg_fixed.mogg_extract,8|9
H Is Orange - Nothing All The Time.mogg_fixed.mogg_extract,14|15
H-Blockx - Countdown To Insanity.mogg_fixed.mogg_extract,9|10|11|12
Harvey Danger - Cream And Bastards Rise.mogg_fixed.mogg_extract,10|11
Heart - Barracuda.mogg_fixed.mogg_extract,12|13
Helmet - Unsung (Live).mogg_fixed.mogg_extract,12|13
Hilary Duff - So Yesterday.mogg_fixed.mogg_extract,14|15
HIM - Killing Loneliness.mogg_fixed.mogg_extract,12|13
HIM - Wings Of A Butterfly.mogg_fixed.mogg_extract,7|8
Hinder - Lips Of An Angel.mogg_fixed.mogg_extract,14|15
Hinder - Use Me.mogg_fixed.mogg_extract,14|15
Hives - Main Offender.mogg_fixed.mogg_extract,7|8|11|12
Hole - Celebrity Skin.mogg_fixed.mogg_extract,8|9|12|13
Hollywood Undead - Young.mogg_fixed.mogg_extract,8|9
Hot Hot Heat - Bandages.mogg_fixed.mogg_extract,8|9
Housse De Racket - Oh Yeah!.mogg_fixed.mogg_extract,12|13
Huey Lewis and the News - The Power of Love.mogg_fixed.mogg_extract,5|6|12|13
Human League - Don't You Want Me.mogg_fixed.mogg_extract,11|12
Hundred Reasons - I'll Never Know.mogg_fixed.mogg_extract,12|13
Hushpuppies - You're Gonna Say Yeah.mogg_fixed.mogg_extract,12|13
Hypernova - Viva la Resistance.mogg_fixed.mogg_extract,11|12
I Fight Dragons - Money.mogg_fixed.mogg_extract,30|31
I Fight Dragons - No One Likes Superman.mogg_fixed.mogg_extract,8|9|10|11
I Mother Earth - Levitate.mogg_fixed.mogg_extract,6|7
Ida Maria - Oh My God.mogg_fixed.mogg_extract,13|14
Iggy Pop - The Passenger.mogg_fixed.mogg_extract,9|10
In Flames - Disconnected.mogg_fixed.mogg_extract,14|15
In This Moment - Forever.mogg_fixed.mogg_extract,2|3|9|10|11|12
Incubus - Dig.mogg_fixed.mogg_extract,9|10
Incubus - Drive.mogg_fixed.mogg_extract,12|13
Incubus - Stellar.mogg_fixed.mogg_extract,12|13
"Innerpartysystem - Die Tonight, Live Forever.mogg_fixed.mogg_extract",10|11|12|13
Innerpartysystem - Don't Stop.mogg_fixed.mogg_extract,8|9|12|13
Innerpartysystem - Heart Of Fire.mogg_fixed.mogg_extract,10|11|12|13
Innerpartysystem - It's Not Getting Any Better.mogg_fixed.mogg_extract,10|11
Innerpartysystem - Last Night In Brooklyn.mogg_fixed.mogg_extract,14|15|20|21
Innerpartysystem - Obsession.mogg_fixed.mogg_extract,12|13|14|15
Interpol - Obstacle 1.mogg_fixed.mogg_extract,12|13
INXS - Need You Tonight.mogg_fixed.mogg_extract,13|14
Iron Maiden - 2 Minutes To Midnight.mogg_fixed.mogg_extract,7|8
Iron Maiden - Aces High (live).mogg_fixed.mogg_extract,8|9
Iron Maiden - Can I Play With Madness.mogg_fixed.mogg_extract,8|9
Iron Maiden - Fear Of The Dark (live).mogg_fixed.mogg_extract,8|9
Iron Maiden - Hallowed Be Thy Name (live).mogg_fixed.mogg_extract,8|9
Iron Maiden - Iron Maiden (live).mogg_fixed.mogg_extract,8|9
Iron Maiden - Powerslave.mogg_fixed.mogg_extract,2|3|15|16
Iron Maiden - Run to the Hills (cover).mogg_fixed.mogg_extract,8|9|10|11|12|13
Iron Maiden - The Clairvoyant.mogg_fixed.mogg_extract,8|9
Iron Maiden - The Number Of The Beast.mogg_fixed.mogg_extract,8|9
Iron Maiden - The Trooper.mogg_fixed.mogg_extract,12|13
Iron Maiden - Wasted Years.mogg_fixed.mogg_extract,6|7
J. Geils Band - Centerfold.mogg_fixed.mogg_extract,7|8|12|13
J. Geils Band - Freeze Frame.mogg_fixed.mogg_extract,12|13
Jack White & Alicia Keys - Another Way To Die.mogg_fixed.mogg_extract,14|15
James Brown - Get Up (I Feel Like A) Sex Machine.mogg_fixed.mogg_extract,5|6
James Brown - I Got You (I Feel Good).mogg_fixed.mogg_extract,4|5|10|11|12|13
Jane's Addiction - Chip Away.mogg_fixed.mogg_extract,10|11
Jane's Addiction - Irresistable Force.mogg_fixed.mogg_extract,10|11|12|13
Jane's Addiction - Mountain Song.mogg_fixed.mogg_extract,12|13
Jane's Addiction - Stop!.mogg_fixed.mogg_extract,12|13
Jane's Addiction - Whores.mogg_fixed.mogg_extract,8|9|10|11
Janet Jackson - Black Cat.mogg_fixed.mogg_extract,14|15
Jason Derulo - Don't Wanna Go Home.mogg_fixed.mogg_extract,8|9|10|11
Jeff Beck - Scatterbrain (Live).mogg_fixed.mogg_extract,4|5
Jesse McCartney - Beautiful Soul.mogg_fixed.mogg_extract,14|15
Jethro Tull - Aqualung.mogg_fixed.mogg_extract,5|6|9|10
Jethro Tull - Hymn 43.mogg_fixed.mogg_extract,5|6|7|8
Jimmy Buffet - Cheeseburger In Paradise.mogg_fixed.mogg_extract,9|10
Jimmy Buffet - Margaritaville.mogg_fixed.mogg_extract,9|10
Jimmy Buffet - Volcano.mogg_fixed.mogg_extract,8|9
Jimmy Eat World - Pain.mogg_fixed.mogg_extract,12|13
Jimmy Eat World - The Middle.mogg_fixed.mogg_extract,12|13
Joan Jett & The Blackhearts - Bad Reputation.mogg_fixed.mogg_extract,14|15
Joan Jett and the Blackhearts - I Love Rock 'n Roll.mogg_fixed.mogg_extract,10|11
Joe Bonamassa - Lonesome Road Blues.mogg_fixed.mogg_extract,14|15
John Lennon - Gimme Some Truth.mogg_fixed.mogg_extract,4|5|10|11
John Lennon - How Do You Sleep.mogg_fixed.mogg_extract,10|11
John Lennon - How.mogg_fixed.mogg_extract,8|9
John Lennon - I Don't Want To Be A Soldier.mogg_fixed.mogg_extract,10|11
John Lennon - Imagine.mogg_fixed.mogg_extract,8|9
John Lennon - It's So Hard.mogg_fixed.mogg_extract,10|11
John Lennon - Jealous Guy.mogg_fixed.mogg_extract,10|11
John Lennon - Oh My Love.mogg_fixed.mogg_extract,8|9
John Lennon - Oh Yoko.mogg_fixed.mogg_extract,10|11
John Lennon And The Plastic Ono Band - Happy XMas (War Is Over).mogg_fixed.mogg_extract,10|11
John Mellencamp - Hurts So Good.mogg_fixed.mogg_extract,7|8
"Johnny Cash - Cry, Cry, Cry.mogg_fixed.mogg_extract",9|10
Johnny Cash - Don't Take Your Guns To Town.mogg_fixed.mogg_extract,10|11
Johnny Cash - Folsom Prison Blues.mogg_fixed.mogg_extract,8|9
Johnny Cash - I Got Stripes.mogg_fixed.mogg_extract,10|11
Johnny Cash - I Walk The Line.mogg_fixed.mogg_extract,8|9
Johnny Cash - Ring Of Fire.mogg_fixed.mogg_extract,7|8
Johnny Cash - The Ballad Of Ira Hayes.mogg_fixed.mogg_extract,8|9
Jonathan Coulton - Chiron Beta Prime.mogg_fixed.mogg_extract,17|18
Jonathan Coulton - Creepy Doll.mogg_fixed.mogg_extract,19|20
Jonathan Coulton - I'm Your Moon.mogg_fixed.mogg_extract,10|11
Jonathan Coulton - Mr. Fancy Pants.mogg_fixed.mogg_extract,10|11
Jonathan Coulton - Shop Vac.mogg_fixed.mogg_extract,19|20
Jonathan Coulton - Still Alive.mogg_fixed.mogg_extract,7|8
Jonathan Coulton - You Ruined Everything.mogg_fixed.mogg_extract,10|11
Journey - Any Way You Want It.mogg_fixed.mogg_extract,9|10|13|14
Judas Priest - (Take These) Chains.mogg_fixed.mogg_extract,8|9
Judas Priest - Bloodstone.mogg_fixed.mogg_extract,9|10
Judas Priest - Devil's Child.mogg_fixed.mogg_extract,9|10
Judas Priest - Electric Eye.mogg_fixed.mogg_extract,10|11
Judas Priest - Fever.mogg_fixed.mogg_extract,9|10
Judas Priest - Hell Bent For Leather.mogg_fixed.mogg_extract,14|15
Judas Priest - Pain And Pleasure.mogg_fixed.mogg_extract,9|10|11|12
Judas Priest - Painkiller.mogg_fixed.mogg_extract,12|13
Judas Priest - Riding On The Wind.mogg_fixed.mogg_extract,9|10
Judas Priest - Screaming For Vengeance.mogg_fixed.mogg_extract,8|9
Judas Priest - You Got Another Thing Comin'.mogg_fixed.mogg_extract,9|10
Kaiser Chiefs - Ruby.mogg_fixed.mogg_extract,8|9
Kansas - Carry On Wayward Son.mogg_fixed.mogg_extract,12|13
Kasabian - Shoot The Runner.mogg_fixed.mogg_extract,6|7|8|9
Katrina And The Waves - Walking On Sunshine.mogg_fixed.mogg_extract,14|15
Kent - Vinternoll2.mogg_fixed.mogg_extract,12|13
KFMDM - A Drug Against War.mogg_fixed.mogg_extract,6|7
KFMDM - Juke Joint Jezebel.mogg_fixed.mogg_extract,6|7
Killswitch Engage - My Curse.mogg_fixed.mogg_extract,6|7
Killswitch Engage - The End of Heartache.mogg_fixed.mogg_extract,12|13
Kings Of Leon - Sex On Fire.mogg_fixed.mogg_extract,7|8
KISS - I Was Made For Lovin' You.mogg_fixed.mogg_extract,14|15
KISS - Lick It Up.mogg_fixed.mogg_extract,14|15
KISS - Love Gun.mogg_fixed.mogg_extract,7|8
KISS - Modern Day Delilah.mogg_fixed.mogg_extract,14|15
KISS - Rock and Roll All Nite.mogg_fixed.mogg_extract,12|13
Knack - My Sharona (cover).mogg_fixed.mogg_extract,2|3|9|10|11|12
KoRn - Freak On A Leash.mogg_fixed.mogg_extract,12|13
KoRn - Word Up.mogg_fixed.mogg_extract,8|9
KT Tunstall - Black Horse And The Cherry Tree.mogg_fixed.mogg_extract,14|15
KT Tunstall - Suddenly I See.mogg_fixed.mogg_extract,6|7|8|9
Kutless - The Feeling.mogg_fixed.mogg_extract,9|10|11|12
Kylie Minogue - All The Lovers.mogg_fixed.mogg_extract,4|5|6|7|12|13
Kyuss - Demon Cleaner.mogg_fixed.mogg_extract,14|15
L7 - Pretend We're Dead.mogg_fixed.mogg_extract,8|9
La Roux - Bulletproof.mogg_fixed.mogg_extract,12|13|18|19
Lacuna Coil - Closer.mogg_fixed.mogg_extract,7|8
Lacuna Coil - Our Truth.mogg_fixed.mogg_extract,12|13
Lacuna Coil - Survive.mogg_fixed.mogg_extract,6|7
Lacuna Coil - Swamped.mogg_fixed.mogg_extract,9|10
Lady Gaga - Bad Romance.mogg_fixed.mogg_extract,6|7
Lady Gaga - Just Dance.mogg_fixed.mogg_extract,12|13
Lady Gaga - LoveGame.mogg_fixed.mogg_extract,6|7|8|9
Lady Gaga - Monster.mogg_fixed.mogg_extract,12|13
Lady Gaga - Paparazzi.mogg_fixed.mogg_extract,4|5|10|11
Lady Gaga - Poker Face.mogg_fixed.mogg_extract,11|12
Lady Gaga featuring Beyoncé - Telephone.mogg_fixed.mogg_extract,12|13|16|17|18|19
Lamb Of God - Again We Rise.mogg_fixed.mogg_extract,12|13|14|15
Lamb Of God - Beating On Death's Door.mogg_fixed.mogg_extract,10|11
Lamb Of God - Blacken The Cursed Sun.mogg_fixed.mogg_extract,12|13|14|15
Lamb Of God - Broken Hands.mogg_fixed.mogg_extract,6|7
Lamb Of God - Choke Sermon.mogg_fixed.mogg_extract,6|7
Lamb Of God - Contractor.mogg_fixed.mogg_extract,6|7
Lamb Of God - Dead Seeds.mogg_fixed.mogg_extract,6|7
Lamb Of God - Descending.mogg_fixed.mogg_extract,12|13
Lamb Of God - Everything To Nothing.mogg_fixed.mogg_extract,6|7
Lamb Of God - Fake Messiah.mogg_fixed.mogg_extract,6|7
Lamb Of God - Foot To The Throat.mogg_fixed.mogg_extract,14|15
Lamb Of God - Forgotten (Lost Angels).mogg_fixed.mogg_extract,12|13
Lamb Of God - Grace.mogg_fixed.mogg_extract,6|7
Lamb Of God - In Your Words.mogg_fixed.mogg_extract,6|7
Lamb Of God - Laid to Rest.mogg_fixed.mogg_extract,12|13
Lamb Of God - Reclamation.mogg_fixed.mogg_extract,6|7
Lamb Of God - Redneck.mogg_fixed.mogg_extract,14|15
Lamb Of God - Requiem.mogg_fixed.mogg_extract,12|13|14|15
Lamb Of God - Set To Fail.mogg_fixed.mogg_extract,6|7
Lamb Of God - Shoulder Of Your God.mogg_fixed.mogg_extract,6|7
Lamb Of God - The Passing.mogg_fixed.mogg_extract,0|1
Lamb Of God - Walk With Me In Hell.mogg_fixed.mogg_extract,12|13
Lamb Of God - We Die Alone.mogg_fixed.mogg_extract,6|7
Len Price 3 - If I Ain't Got You.mogg_fixed.mogg_extract,6|7|8|9
Lenny Kravitz - Are You Gonna Go My Way.mogg_fixed.mogg_extract,12|13
Lenny Kravitz - Fly Away.mogg_fixed.mogg_extract,12|13
Lenny Kravitz - Lady.mogg_fixed.mogg_extract,12|13
Lenny Kravitz - Let Love Rule.mogg_fixed.mogg_extract,14|15
Les Rita Mitsouko - C'est Comme Ca.mogg_fixed.mogg_extract,12|13
Les Wampas - Manu Chao.mogg_fixed.mogg_extract,7|8
"Lesley Roy - I'm Gone, I'm Going.mogg_fixed.mogg_extract",8|9|10|11
Libyans - Welcome To The Neighborhood.mogg_fixed.mogg_extract,7|8
Lily Allen - 22.mogg_fixed.mogg_extract,0|1|10|11
Lily Allen - Back To The Start.mogg_fixed.mogg_extract,0|1|8|9|10|11
Lily Allen - Chinese.mogg_fixed.mogg_extract,10|11
Lily Allen - Everyone's At It.mogg_fixed.mogg_extract,2|3|6|7|8|9
Lily Allen - Fuck You.mogg_fixed.mogg_extract,0|1|10|11
Lily Allen - He Wasn't There.mogg_fixed.mogg_extract,8|9
Lily Allen - Him.mogg_fixed.mogg_extract,8|9
Lily Allen - I Could Say.mogg_fixed.mogg_extract,2|3|8|9
Lily Allen - Never Gonna Happen.mogg_fixed.mogg_extract,0|1|10|11
Lily Allen - Not Fair.mogg_fixed.mogg_extract,6|7|10|11
Lily Allen - Take What You Take.mogg_fixed.mogg_extract,14|15
Lily Allen - The Fear.mogg_fixed.mogg_extract,0|1|10|11
Lily Allen - Who'd Have Known.mogg_fixed.mogg_extract,0|1|10|11
Limp Bizkit - Nookie.mogg_fixed.mogg_extract,14|15
Linkin Park - Bleed It Out.mogg_fixed.mogg_extract,7|8
Linkin Park - Burning In The Skies.mogg_fixed.mogg_extract,16|17
Linkin Park - In The End.mogg_fixed.mogg_extract,14|15
Linkin Park - Numb.mogg_fixed.mogg_extract,10|11
Linkin Park - One Step Closer.mogg_fixed.mogg_extract,8|9|10|11
Linkin Park - Somewhere I Belong.mogg_fixed.mogg_extract,14|15
Linkin Park - The Messenger.mogg_fixed.mogg_extract,2|3
Linkin Park - Waiting For The End.mogg_fixed.mogg_extract,12|13
