Classification,Filename,Label
0.05782239,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/12.wav.png,nonvocal
0.034771565,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/13.wav.png,nonvocal
0.99946946,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/14.wav.png,vocal
0.9994704,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/15.wav.png,vocal
0.000745239,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/2.wav.png,nonvocal
0.000638692,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/3.wav.png,nonvocal
9.93E-10,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/4.wav.png,nonvocal
1.98E-10,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.001133693,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.000685215,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/8.wav.png,nonvocal
0,./temp-spectrograms/Dashboard Confessional - Hands Down.mogg_fixed.mogg_extract/9.wav.png,nonvocal
2.27E-09,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/0.wav.png,nonvocal
3.92E-08,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.65146327,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/10.wav.png,vocal
0.092975564,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/11.wav.png,nonvocal
0.19594133,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/12.wav.png,nonvocal
0.12741299,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/13.wav.png,nonvocal
0.9983021,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/14.wav.png,vocal
0.99711823,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/15.wav.png,vocal
0.007313782,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/2.wav.png,nonvocal
0.001034718,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/3.wav.png,nonvocal
1.29E-19,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/4.wav.png,nonvocal
2.49E-13,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.012505878,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.013394726,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/8.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Fame.mogg_fixed.mogg_extract/9.wav.png,nonvocal
2.58E-11,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/0.wav.png,nonvocal
2.66E-11,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.06583567,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/10.wav.png,nonvocal
0.06644657,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/11.wav.png,nonvocal
0.76953113,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/12.wav.png,vocal
0.7858571,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/13.wav.png,vocal
0.9999664,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/14.wav.png,vocal
0.99996734,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/15.wav.png,vocal
5.32E-31,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/2.wav.png,nonvocal
6.84E-20,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/3.wav.png,nonvocal
7.58E-11,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/4.wav.png,nonvocal
7.57E-11,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.08539277,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.08552655,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0.07660131,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/8.wav.png,nonvocal
0.010339008,./temp-spectrograms/David Bowie - Golden Years.mogg_fixed.mogg_extract/9.wav.png,nonvocal
4.00E-16,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/0.wav.png,nonvocal
6.48E-16,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.062322497,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/10.wav.png,nonvocal
0.49542025,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/11.wav.png,nonvocal
0.99970835,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/12.wav.png,vocal
0.99976283,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/13.wav.png,vocal
0.0393222,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/14.wav.png,nonvocal
0.045099527,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/15.wav.png,nonvocal
2.10E-15,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/2.wav.png,nonvocal
1.12E-17,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/3.wav.png,nonvocal
1.45E-25,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/4.wav.png,nonvocal
2.75E-27,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.009196417,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.010078534,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/7.wav.png,nonvocal
6.99E-05,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/8.wav.png,nonvocal
7.12E-05,./temp-spectrograms/David Bowie - Let's Dance.mogg_fixed.mogg_extract/9.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/0.wav.png,nonvocal
2.03E-38,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/2.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0.006225893,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/4.wav.png,nonvocal
1.48E-07,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/5.wav.png,nonvocal
1,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/6.wav.png,vocal
1,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/7.wav.png,vocal
0.5001601,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/8.wav.png,vocal
0.003373244,./temp-spectrograms/David Bowie - Moonage Daydream.mogg_fixed.mogg_extract/9.wav.png,nonvocal
3.08E-06,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/0.wav.png,nonvocal
5.18E-11,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.99739134,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/10.wav.png,vocal
2.48E-06,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/2.wav.png,nonvocal
0.046921782,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/3.wav.png,nonvocal
1.02E-07,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/4.wav.png,nonvocal
2.48E-09,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.00054696,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.012882307,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0.001716074,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/8.wav.png,nonvocal
0.98585147,./temp-spectrograms/David Bowie - Space Oddity.mogg_fixed.mogg_extract/9.wav.png,vocal
2.12E-14,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/0.wav.png,nonvocal
3.15E-07,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.002612138,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/10.wav.png,nonvocal
0.007004605,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/11.wav.png,nonvocal
4.92E-07,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/2.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/3.wav.png,nonvocal
1.25E-05,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0.000379306,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.999982,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/6.wav.png,vocal
0.9999819,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/7.wav.png,vocal
0.000508515,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/8.wav.png,nonvocal
0.08520333,./temp-spectrograms/David Bowie - Suffragette City.mogg_fixed.mogg_extract/9.wav.png,nonvocal
2.44E-25,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/0.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/2.wav.png,nonvocal
5.51E-05,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/3.wav.png,nonvocal
3.32E-13,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0.010048645,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.053349093,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.99994934,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/7.wav.png,vocal
0.9998209,./temp-spectrograms/David Bowie - Ziggy Stardust.mogg_fixed.mogg_extract/8.wav.png,vocal
0.000129781,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/0.wav.png,nonvocal
0.001096164,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.002928423,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/10.wav.png,nonvocal
0.001353415,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/11.wav.png,nonvocal
3.08E-05,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/12.wav.png,nonvocal
0.001113002,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/13.wav.png,nonvocal
0.9999994,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/14.wav.png,vocal
0.9999999,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/15.wav.png,vocal
0.025490021,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/2.wav.png,nonvocal
0.09797572,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/3.wav.png,nonvocal
3.21E-17,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/4.wav.png,nonvocal
3.36E-12,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.055627316,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.060597852,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/7.wav.png,nonvocal
1.78E-08,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/8.wav.png,nonvocal
2.65E-08,./temp-spectrograms/Davidicus - You Really Like Me.mogg_fixed.mogg_extract/9.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/0.wav.png,nonvocal
6.22E-13,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.35782045,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/10.wav.png,nonvocal
8.15E-24,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/2.wav.png,nonvocal
1.21E-23,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/3.wav.png,nonvocal
3.16E-19,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0.023309346,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.07730684,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.9999982,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/7.wav.png,vocal
0.99999857,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/8.wav.png,vocal
0.855118,./temp-spectrograms/Dead Kennedys - California Über Alles.mogg_fixed.mogg_extract/9.wav.png,vocal
0,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/0.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/1.wav.png,nonvocal
1,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/10.wav.png,vocal
1,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/11.wav.png,vocal
0.09086837,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/12.wav.png,nonvocal
0.1183211,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/13.wav.png,nonvocal
1.90E-11,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/2.wav.png,nonvocal
2.32E-11,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/4.wav.png,nonvocal
1.37E-34,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/7.wav.png,nonvocal
2.69E-18,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/8.wav.png,nonvocal
1.10E-06,./temp-spectrograms/Dead Kennedys - Holiday In Cambodia.mogg_fixed.mogg_extract/9.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/0.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/1.wav.png,nonvocal
1,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/10.wav.png,vocal
1,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/11.wav.png,vocal
0.9990201,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/12.wav.png,vocal
0.98066485,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/13.wav.png,vocal
6.40E-12,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/2.wav.png,nonvocal
5.92E-12,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0.000624114,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/8.wav.png,nonvocal
1.64E-06,./temp-spectrograms/Dead Kennedys - Police Truck.mogg_fixed.mogg_extract/9.wav.png,nonvocal
4.51E-30,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/0.wav.png,nonvocal
2.18E-08,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/1.wav.png,nonvocal
0.9999542,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/10.wav.png,vocal
7.07E-31,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/2.wav.png,nonvocal
6.57E-09,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/5.wav.png,nonvocal
3.83E-10,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/6.wav.png,nonvocal
1,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/7.wav.png,vocal
1,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/8.wav.png,vocal
0.9999709,./temp-spectrograms/Dealership - Database Corrupted.mogg_fixed.mogg_extract/9.wav.png,vocal
0,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/0.wav.png,nonvocal
0,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/1.wav.png,nonvocal
1,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/10.wav.png,vocal
1,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/11.wav.png,vocal
0.000268209,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/12.wav.png,nonvocal
0.001148176,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/13.wav.png,nonvocal
2.95E-14,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/2.wav.png,nonvocal
9.97E-14,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/3.wav.png,nonvocal
0,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/4.wav.png,nonvocal
7.47E-31,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/7.wav.png,nonvocal
2.86E-08,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/8.wav.png,nonvocal
2.63E-07,./temp-spectrograms/Death Of The Cool - Can't Let Go.mogg_fixed.mogg_extract/9.wav.png,nonvocal
9.01E-09,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/0.wav.png,nonvocal
0.000636051,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/1.wav.png,nonvocal
5.19E-17,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/2.wav.png,nonvocal
7.94E-15,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/3.wav.png,nonvocal
1.47E-08,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/4.wav.png,nonvocal
0.10668932,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/5.wav.png,nonvocal
0.090224385,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/6.wav.png,nonvocal
0.34697518,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/7.wav.png,nonvocal
0.46396923,./temp-spectrograms/Deep Purple - Burn.mogg_fixed.mogg_extract/8.wav.png,nonvocal
2.87E-25,./temp-spectrograms/Deep Purple - Highway Star.mogg_fixed.mogg_extract/0.wav.png,nonvocal
1.50E-34,./temp-spectrograms/Deep Purple - Highway Star.mogg_fixed.mogg_extract/1.wav.png,nonvocal
